,,,,-SOMME,,,
32404,80,80750,80200,Tertry,tertry,49.860321492537,3.0715655223881
32405,80,80751,80110,Thennes,thennes,49.804864622642,2.4765746226415
32406,80,80752,80440,Thézy-Glimont,thezy glimont,49.818509578947,2.4306957894737
32407,80,80753,80300,Thiepval,thiepval,50.059348181818,2.6850313636364
32408,80,80754,80640,Thieulloy-l'Abbaye,thieulloy l abbaye,49.82131612069,1.9430631034483
32409,80,80755,80290,Thieulloy-la-Ville,thieulloy la ville,49.744659761905,1.9268933333333
32410,80,80756,62760,Thièvres,thievres,50.120079733333,2.4628542666667
32411,80,80757,80160,Thoix,thoix,49.703095616438,2.0624236986301
32412,80,80758,80250,Thory,thory,49.722354324324,2.4363216216216
32413,80,80759,80700,Tilloloy,tilloloy,49.640716617647,2.7422591176471
32414,80,80760,80220,Tilloy-Floriville,tilloy floriville,49.992966271186,1.5927060169492
32415,80,80761,80160,Tilloy-lès-Conty,tilloy les conty,49.752480666667,2.1786201333333
32416,80,80762,80240,Tincourt-Boucly,tincourt boucly,49.933827058824,3.0486580882353
32417,80,80763,80132,Le Titre,le titre,50.19003,1.803553030303
32418,80,80764,80870,Tœufles,toeufles,50.061642222222,1.7093397530864
32419,80,80765,80210,Tours-en-Vimeu,tours en vimeu,50.037749529412,1.6865731764706
32420,80,80766,80560,Toutencourt,toutencourt,50.04643368932,2.4636090291262
32421,80,80767,80140,Le Translay,le translay,49.973150892857,1.6684021428571
32422,80,80769,80300,Treux,treux,49.953627111111,2.5907368888889
32423,80,80770,80130,Tully,tully,50.08262862069,1.5140437931035
32424,80,80771,80400,Ugny-l'Équipée,ugny l equipee,49.812835319149,3.0700487234043
32425,80,80773,80560,Vadencourt,vadencourt,50.014314666667,2.4913634666667
32426,80,80774,80800,Vaire-sous-Corbie,vaire sous corbie,49.900886521739,2.5465310869565
32427,80,80775,80210,Valines,valines,50.079530769231,1.6288319230769
32428,80,80776,80560,Varennes,varennes,50.0462,2.519005
32429,80,80777,80560,Vauchelles-lès-Authie,vauchelles les authie,50.093143972603,2.4700391780822
32430,80,80778,80620,Vauchelles-lès-Domart,vauchelles les domart,50.057255471698,2.0599496226415
32431,80,80779,80132,Vauchelles-les-Quesnoy,vauchelles les quesnoy,50.10585442623,1.8884718032787
32432,80,80780,80230,Vaudricourt,vaudricourt,50.114726842105,1.5498701754386
32433,80,80781,80131,Vauvillers,vauvillers,49.841621785714,2.7040767857143
32434,80,80782,80260,Vaux-en-Amiénois,vaux en amienois,49.971980428571,2.2365597142857
32435,80,80783,80140,Vaux-Marquenneville,vaux marquenneville,49.988490793651,1.7853933333333
32436,80,80784,80800,Vaux-sur-Somme,vaux sur somme,49.930631234568,2.5531209876543
32437,80,80785,80800,Vecquemont,vecquemont,49.891247735849,2.4375320754717
32438,80,80786,80160,Velennes,velennes,49.763850163934,2.0979655737705
32439,80,80787,80120,Vercourt,vercourt,50.295244318182,1.7024418181818
32440,80,80788,80270,Vergies,vergies,49.931625526316,1.8416530263158
32441,80,80789,80320,Vermandovillers,vermandovillers,49.846673333333,2.7793575
32442,80,80790,80700,Verpillières,verpillieres,49.666699130435,2.8284684782609
32443,80,80791,80480,Vers-sur-Selle,vers sur selle,49.843202419355,2.2282351612903
32444,80,80792,80260,La Vicogne,la vicogne,50.065219272727,2.325086
32445,80,80793,80650,Vignacourt,vignacourt,50.011516,2.1972131
32446,80,80794,80190,Villecourt,villecourt,49.798798809524,2.971145
32447,80,80795,80420,Ville-le-Marclet,ville le marclet,50.035365102041,2.0874463265306
32448,80,80796,80140,Villeroy,villeroy,49.939757,1.7256648333333
32449,80,80797,80110,Villers-aux-Érables,villers aux erables,49.7920428125,2.5272934375
32450,80,80798,80260,Villers-Bocage,villers bocage,50.004855340909,2.3215740909091
32451,80,80799,80800,Villers-Bretonneux,villers bretonneux,49.860417978723,2.5157954255319
32452,80,80800,80140,Villers-Campsart,villers campsart,49.870278333333,1.8348248148148
32453,80,80801,80200,Villers-Carbonnel,villers carbonnel,49.868900428571,2.9014615714286
32454,80,80802,80240,Villers-Faucon,villers faucon,49.979303046358,3.1063675496689
32455,80,80803,80700,Villers-lès-Roye,villers les roye,49.7002425,2.7278951785714
32456,80,80804,80690,Villers-sous-Ailly,villers sous ailly,50.060189074074,2.0176142592593
32457,80,80805,80500,Villers-Tournelle,villers tournelle,49.648599661017,2.4641986440678
32458,80,80806,80120,Villers-sur-Authie,villers sur authie,50.324568655462,1.6958960504202
32459,80,80807,80300,Ville-sur-Ancre,ville sur ancre,49.956832758621,2.6145631034483
32460,80,80808,80150,Vironchaux,vironchaux,50.298117222222,1.8232862962963
32461,80,80809,80140,Vismes,vismes,50.002108314607,1.6733901123596
32462,80,80810,80150,Vitz-sur-Authie,vitz sur authie,50.249216240602,2.0527846616541
32463,80,80811,80400,Voyennes,voyennes,49.770637777778,2.9852161111111
32464,80,80812,80240,Vraignes-en-Vermandois,vraignes en vermandois,49.888004210526,3.0687609210526
32465,80,80813,80640,Vraignes-lès-Hornoy,vraignes les hornoy,49.823919473684,1.9086814035088
32466,80,80814,80170,Vrély,vrely,49.797236428571,2.6882869642857
32467,80,80815,80120,Vron,vron,50.317988412698,1.7586876190476
32468,80,80819,80670,Wargnies,wargnies,50.035635,2.2517638636364
32469,80,80820,80300,Warloy-Baillon,warloy baillon,50.015424065041,2.5282290243902
32470,80,80821,80270,Warlus,warlus,49.917588703704,1.9567538888889
32471,80,80822,80500,Warsy,warsy,49.704495333333,2.6436226666667
32472,80,80823,80170,Warvillers,warvillers,49.779094736842,2.6928105263158
32473,80,80824,80170,Wiencourt-l'Équipée,wiencourt l equipee,49.836187101449,2.6019643478261
32474,80,80825,80270,Wiry-au-Mont,wiry au mont,49.95529358209,1.8439210447761
32475,80,80826,80460,Woignarue,woignarue,50.126101809524,1.4888116190476
32476,80,80827,80520,Woincourt,woincourt,50.063662826087,1.5368906521739
32477,80,80828,80140,Woirel,woirel,49.958745,1.8177069047619
32478,80,80829,80190,Y,y,49.8048021875,2.984489375
32479,80,80830,80135,Yaucourt-Bussus,yaucourt bussus,50.108140821918,1.9765801369863
32480,80,80832,80150,Yvrench,yvrench,50.184489571429,2.0143872857143
32481,80,80833,80150,Yvrencheux,yvrencheux,50.175371084337,1.9872118072289
32482,80,80834,80520,Yzengremer,yzengremer,50.06076125,1.5187675
32483,80,80835,80310,Yzeux,yzeux,49.979825,2.1083989130435
32484,80,80836,80132,Yonval,yonval,50.091910638298,1.7928104255319
